Season,EventName,Abbreviation,fp_session,fp_gap
2023,Bahrain Grand Prix,VER,FP1,0.617
2023,Bahrain Grand Prix,SAR,FP1,2.991
2023,Bahrain Grand Prix,NOR,FP1,1.407
2023,Bahrain Grand Prix,GAS,FP1,2.697
2023,Bahrain Grand Prix,PER,FP1,0.0
2023,Bahrain Grand Prix,ALO,FP1,0.438
2023,Bahrain Grand Prix,LEC,FP1,1.499
2023,Bahrain Grand Prix,STR,FP1,1.54
2023,Bahrain Grand Prix,MAG,FP1,1.644
2023,Bahrain Grand Prix,DEV,FP1,2.644
2023,Bahrain Grand Prix,TSU,FP1,2.257
2023,Bahrain Grand Prix,ALB,FP1,3.26
2023,Bahrain Grand Prix,ZHO,FP1,1.817
2023,Bahrain Grand Prix,HUL,FP1,2.285
2023,Bahrain Grand Prix,OCO,FP1,2.347
2023,Bahrain Grand Prix,HAM,FP1,2.159
2023,Bahrain Grand Prix,SAI,FP1,3.314
2023,Bahrain Grand Prix,RUS,FP1,2.208
2023,Bahrain Grand Prix,BOT,FP1,1.931
2023,Bahrain Grand Prix,PIA,FP1,2.239
2023,Bahrain Grand Prix,VER,FP2,0.169
2023,Bahrain Grand Prix,SAR,FP2,1.842
2023,Bahrain Grand Prix,NOR,FP2,0.663
2023,Bahrain Grand Prix,GAS,FP2,0.568
2023,Bahrain Grand Prix,PER,FP2,0.171
2023,Bahrain Grand Prix,ALO,FP2,0.0
2023,Bahrain Grand Prix,LEC,FP2,0.46
2023,Bahrain Grand Prix,STR,FP2,0.543
2023,Bahrain Grand Prix,MAG,FP2,1.203
2023,Bahrain Grand Prix,DEV,FP2,1.698
2023,Bahrain Grand Prix,TSU,FP2,1.618
2023,Bahrain Grand Prix,ALB,FP2,1.533
2023,Bahrain Grand Prix,ZHO,FP2,0.679
2023,Bahrain Grand Prix,HUL,FP2,0.469
2023,Bahrain Grand Prix,OCO,FP2,0.701
2023,Bahrain Grand Prix,HAM,FP2,0.636
2023,Bahrain Grand Prix,SAI,FP2,1.049
2023,Bahrain Grand Prix,RUS,FP2,0.975
2023,Bahrain Grand Prix,BOT,FP2,0.886
2023,Bahrain Grand Prix,PIA,FP2,1.117
2023,Bahrain Grand Prix,VER,FP3,0.005
2023,Bahrain Grand Prix,SAR,FP3,1.325
2023,Bahrain Grand Prix,NOR,FP3,0.862
2023,Bahrain Grand Prix,GAS,FP3,0.724
2023,Bahrain Grand Prix,PER,FP3,0.106
2023,Bahrain Grand Prix,ALO,FP3,0.0
2023,Bahrain Grand Prix,LEC,FP3,0.284
2023,Bahrain Grand Prix,STR,FP3,0.579
2023,Bahrain Grand Prix,MAG,FP3,1.041
2023,Bahrain Grand Prix,DEV,FP3,1.742
2023,Bahrain Grand Prix,TSU,FP3,1.135
2023,Bahrain Grand Prix,ALB,FP3,1.542
2023,Bahrain Grand Prix,ZHO,FP3,0.84
2023,Bahrain Grand Prix,HUL,FP3,1.083
2023,Bahrain Grand Prix,OCO,FP3,0.776
2023,Bahrain Grand Prix,HAM,FP3,0.215
2023,Bahrain Grand Prix,SAI,FP3,0.605
2023,Bahrain Grand Prix,RUS,FP3,0.391
2023,Bahrain Grand Prix,BOT,FP3,1.289
2023,Bahrain Grand Prix,PIA,FP3,0.705
2023,Saudi Arabian Grand Prix,VER,FP1,0.0
2023,Saudi Arabian Grand Prix,SAR,FP1,2.305
2023,Saudi Arabian Grand Prix,NOR,FP1,2.532
2023,Saudi Arabian Grand Prix,GAS,FP1,1.332
2023,Saudi Arabian Grand Prix,PER,FP1,0.483
2023,Saudi Arabian Grand Prix,ALO,FP1,0.698
2023,Saudi Arabian Grand Prix,LEC,FP1,1.501
2023,Saudi Arabian Grand Prix,STR,FP1,0.96
2023,Saudi Arabian Grand Prix,MAG,FP1,1.949
2023,Saudi Arabian Grand Prix,DEV,FP1,1.833
2023,Saudi Arabian Grand Prix,TSU,FP1,1.493
2023,Saudi Arabian Grand Prix,ALB,FP1,1.413
2023,Saudi Arabian Grand Prix,ZHO,FP1,2.369
2023,Saudi Arabian Grand Prix,HUL,FP1,1.935
2023,Saudi Arabian Grand Prix,OCO,FP1,1.564
2023,Saudi Arabian Grand Prix,HAM,FP1,1.17
2023,Saudi Arabian Grand Prix,SAI,FP1,1.307
2023,Saudi Arabian Grand Prix,RUS,FP1,1.154
2023,Saudi Arabian Grand Prix,BOT,FP1,2.353
2023,Saudi Arabian Grand Prix,PIA,FP1,1.874
2023,Saudi Arabian Grand Prix,VER,FP2,0.0
2023,Saudi Arabian Grand Prix,SAR,FP2,1.356
2023,Saudi Arabian Grand Prix,NOR,FP2,1.118
2023,Saudi Arabian Grand Prix,GAS,FP2,0.497
2023,Saudi Arabian Grand Prix,PER,FP2,0.299
2023,Saudi Arabian Grand Prix,ALO,FP2,0.208
2023,Saudi Arabian Grand Prix,LEC,FP2,0.738
2023,Saudi Arabian Grand Prix,STR,FP2,0.507
2023,Saudi Arabian Grand Prix,MAG,FP2,1.217
2023,Saudi Arabian Grand Prix,DEV,FP2,1.318
2023,Saudi Arabian Grand Prix,TSU,FP2,1.173
2023,Saudi Arabian Grand Prix,ALB,FP2,1.207
2023,Saudi Arabian Grand Prix,ZHO,FP2,1.234
2023,Saudi Arabian Grand Prix,HUL,FP2,0.578
2023,Saudi Arabian Grand Prix,OCO,FP2,0.436
2023,Saudi Arabian Grand Prix,HAM,FP2,0.996
2023,Saudi Arabian Grand Prix,SAI,FP2,0.989
2023,Saudi Arabian Grand Prix,RUS,FP2,0.467
2023,Saudi Arabian Grand Prix,BOT,FP2,1.449
2023,Saudi Arabian Grand Prix,PIA,FP2,1.361
2023,Saudi Arabian Grand Prix,VER,FP3,0.0
2023,Saudi Arabian Grand Prix,SAR,FP3,1.55
2023,Saudi Arabian Grand Prix,NOR,FP3,1.205
2023,Saudi Arabian Grand Prix,GAS,FP3,1.216
2023,Saudi Arabian Grand Prix,PER,FP3,0.613
2023,Saudi Arabian Grand Prix,ALO,FP3,0.998
2023,Saudi Arabian Grand Prix,LEC,FP3,1.103
2023,Saudi Arabian Grand Prix,STR,FP3,1.024
2023,Saudi Arabian Grand Prix,MAG,FP3,1.646
2023,Saudi Arabian Grand Prix,TSU,FP3,2.312
2023,Saudi Arabian Grand Prix,ALB,FP3,1.498
2023,Saudi Arabian Grand Prix,ZHO,FP3,1.432
2023,Saudi Arabian Grand Prix,HUL,FP3,1.448
2023,Saudi Arabian Grand Prix,OCO,FP3,1.468
2023,Saudi Arabian Grand Prix,HAM,FP3,1.083
2023,Saudi Arabian Grand Prix,SAI,FP3,1.276
2023,Saudi Arabian Grand Prix,RUS,FP3,1.326
2023,Saudi Arabian Grand Prix,BOT,FP3,1.832
2023,Saudi Arabian Grand Prix,PIA,FP3,1.213
2023,Australian Grand Prix,VER,FP1,0.0
2023,Australian Grand Prix,SAR,FP1,1.284
2023,Australian Grand Prix,NOR,FP1,0.746
2023,Australian Grand Prix,GAS,FP1,0.856
2023,Australian Grand Prix,PER,FP1,0.503
2023,Australian Grand Prix,ALO,FP1,0.527
2023,Australian Grand Prix,LEC,FP1,0.588
2023,Australian Grand Prix,STR,FP1,0.976
2023,Australian Grand Prix,MAG,FP1,2.357
2023,Australian Grand Prix,DEV,FP1,1.143
2023,Australian Grand Prix,TSU,FP1,1.609
2023,Australian Grand Prix,ALB,FP1,0.976
2023,Australian Grand Prix,ZHO,FP1,1.779
2023,Australian Grand Prix,HUL,FP1,1.016
2023,Australian Grand Prix,OCO,FP1,1.385
2023,Australian Grand Prix,HAM,FP1,0.433
2023,Australian Grand Prix,SAI,FP1,0.715
2023,Australian Grand Prix,RUS,FP1,0.909
2023,Australian Grand Prix,BOT,FP1,1.629
2023,Australian Grand Prix,PIA,FP1,0.987
2023,Australian Grand Prix,VER,FP2,0.615
2023,Australian Grand Prix,NOR,FP2,1.289
2023,Australian Grand Prix,GAS,FP2,1.319
2023,Australian Grand Prix,PER,FP2,1.196
2023,Australian Grand Prix,ALO,FP2,0.0
2023,Australian Grand Prix,LEC,FP2,0.445
2023,Australian Grand Prix,STR,FP2,1.692
2023,Australian Grand Prix,MAG,FP2,2.379
2023,Australian Grand Prix,DEV,FP2,1.713
2023,Australian Grand Prix,TSU,FP2,1.333
2023,Australian Grand Prix,ALB,FP2,2.295
2023,Australian Grand Prix,ZHO,FP2,1.583
2023,Australian Grand Prix,HUL,FP2,1.307
2023,Australian Grand Prix,OCO,FP2,0.838
2023,Australian Grand Prix,HAM,FP2,1.436
2023,Australian Grand Prix,SAI,FP2,0.808
2023,Australian Grand Prix,RUS,FP2,0.785
2023,Australian Grand Prix,BOT,FP2,1.425
2023,Australian Grand Prix,PIA,FP2,1.493
2023,Australian Grand Prix,VER,FP3,0.0
2023,Australian Grand Prix,SAR,FP3,1.382
2023,Australian Grand Prix,NOR,FP3,1.581
2023,Australian Grand Prix,GAS,FP3,0.529
2023,Australian Grand Prix,PER,FP3,0.558
2023,Australian Grand Prix,ALO,FP3,0.162
2023,Australian Grand Prix,LEC,FP3,1.126
2023,Australian Grand Prix,STR,FP3,0.633
2023,Australian Grand Prix,MAG,FP3,1.491
2023,Australian Grand Prix,DEV,FP3,1.527
2023,Australian Grand Prix,TSU,FP3,1.336
2023,Australian Grand Prix,ALB,FP3,0.988
2023,Australian Grand Prix,ZHO,FP3,0.765
2023,Australian Grand Prix,HUL,FP3,0.845
2023,Australian Grand Prix,OCO,FP3,0.373
2023,Australian Grand Prix,HAM,FP3,0.573
2023,Australian Grand Prix,SAI,FP3,0.562
2023,Australian Grand Prix,RUS,FP3,0.39
2023,Australian Grand Prix,BOT,FP3,1.244
2023,Australian Grand Prix,PIA,FP3,1.148
2023,Azerbaijan Grand Prix,VER,FP1,0.0
2023,Azerbaijan Grand Prix,SAR,FP1,2.585
2023,Azerbaijan Grand Prix,NOR,FP1,0.81
2023,Azerbaijan Grand Prix,GAS,FP1,4.006
2023,Azerbaijan Grand Prix,PER,FP1,0.139
2023,Azerbaijan Grand Prix,ALO,FP1,1.245
2023,Azerbaijan Grand Prix,LEC,FP1,0.037
2023,Azerbaijan Grand Prix,STR,FP1,1.14
2023,Azerbaijan Grand Prix,MAG,FP1,5.183
2023,Azerbaijan Grand Prix,DEV,FP1,1.099
2023,Azerbaijan Grand Prix,TSU,FP1,1.822
2023,Azerbaijan Grand Prix,ALB,FP1,1.313
2023,Azerbaijan Grand Prix,ZHO,FP1,1.433
2023,Azerbaijan Grand Prix,HUL,FP1,2.008
2023,Azerbaijan Grand Prix,OCO,FP1,3.64
2023,Azerbaijan Grand Prix,HAM,FP1,1.483
2023,Azerbaijan Grand Prix,SAI,FP1,0.584
2023,Azerbaijan Grand Prix,RUS,FP1,2.767
2023,Azerbaijan Grand Prix,BOT,FP1,1.695
2023,Azerbaijan Grand Prix,PIA,FP1,1.665
2023,Miami Grand Prix,VER,FP1,0.424
2023,Miami Grand Prix,SAR,FP1,2.494
2023,Miami Grand Prix,NOR,FP1,1.872
2023,Miami Grand Prix,GAS,FP1,0.979
2023,Miami Grand Prix,PER,FP1,1.441
2023,Miami Grand Prix,ALO,FP1,1.106
2023,Miami Grand Prix,LEC,FP1,0.324
2023,Miami Grand Prix,STR,FP1,1.212
2023,Miami Grand Prix,MAG,FP1,1.728
2023,Miami Grand Prix,DEV,FP1,4.512
2023,Miami Grand Prix,TSU,FP1,2.044
2023,Miami Grand Prix,ALB,FP1,1.778
2023,Miami Grand Prix,ZHO,FP1,2.009
2023,Miami Grand Prix,HUL,FP1,1.267
2023,Miami Grand Prix,OCO,FP1,1.417
2023,Miami Grand Prix,HAM,FP1,0.212
2023,Miami Grand Prix,SAI,FP1,0.599
2023,Miami Grand Prix,RUS,FP1,0.0
2023,Miami Grand Prix,BOT,FP1,1.777
2023,Miami Grand Prix,PIA,FP1,1.685
2023,Miami Grand Prix,VER,FP2,0.0
2023,Miami Grand Prix,SAR,FP2,2.108
2023,Miami Grand Prix,NOR,FP2,0.811
2023,Miami Grand Prix,GAS,FP2,1.168
2023,Miami Grand Prix,PER,FP2,0.489
2023,Miami Grand Prix,ALO,FP2,0.73
2023,Miami Grand Prix,LEC,FP2,0.468
2023,Miami Grand Prix,STR,FP2,1.0
2023,Miami Grand Prix,MAG,FP2,1.241
2023,Miami Grand Prix,DEV,FP2,1.998
2023,Miami Grand Prix,TSU,FP2,1.683
2023,Miami Grand Prix,ALB,FP2,1.116
2023,Miami Grand Prix,ZHO,FP2,1.251
2023,Miami Grand Prix,HUL,FP2,1.463
2023,Miami Grand Prix,OCO,FP2,1.007
2023,Miami Grand Prix,HAM,FP2,0.928
2023,Miami Grand Prix,SAI,FP2,0.385
2023,Miami Grand Prix,RUS,FP2,1.286
2023,Miami Grand Prix,BOT,FP2,1.259
2023,Miami Grand Prix,PIA,FP2,1.409
2023,Miami Grand Prix,VER,FP3,0.0
2023,Miami Grand Prix,SAR,FP3,1.729
2023,Miami Grand Prix,NOR,FP3,1.866
2023,Miami Grand Prix,GAS,FP3,0.893
2023,Miami Grand Prix,PER,FP3,0.515
2023,Miami Grand Prix,ALO,FP3,1.083
2023,Miami Grand Prix,LEC,FP3,0.406
2023,Miami Grand Prix,STR,FP3,1.188
2023,Miami Grand Prix,MAG,FP3,1.072
2023,Miami Grand Prix,DEV,FP3,1.912
2023,Miami Grand Prix,TSU,FP3,1.644
2023,Miami Grand Prix,ALB,FP3,1.026
2023,Miami Grand Prix,ZHO,FP3,1.539
2023,Miami Grand Prix,HUL,FP3,0.962
2023,Miami Grand Prix,OCO,FP3,0.872
2023,Miami Grand Prix,HAM,FP3,1.183
2023,Miami Grand Prix,SAI,FP3,0.59
2023,Miami Grand Prix,RUS,FP3,1.071
2023,Miami Grand Prix,BOT,FP3,0.921
2023,Miami Grand Prix,PIA,FP3,1.84
2023,Monaco Grand Prix,VER,FP1,0.872
2023,Monaco Grand Prix,SAR,FP1,2.185
2023,Monaco Grand Prix,NOR,FP1,1.095
2023,Monaco Grand Prix,GAS,FP1,1.494
2023,Monaco Grand Prix,PER,FP1,0.666
2023,Monaco Grand Prix,ALO,FP1,0.338
2023,Monaco Grand Prix,LEC,FP1,0.721
2023,Monaco Grand Prix,STR,FP1,1.281
2023,Monaco Grand Prix,MAG,FP1,1.353
2023,Monaco Grand Prix,DEV,FP1,1.711
2023,Monaco Grand Prix,TSU,FP1,1.448
2023,Monaco Grand Prix,ALB,FP1,1.294
2023,Monaco Grand Prix,ZHO,FP1,2.312
2023,Monaco Grand Prix,HUL,FP1,2.413
2023,Monaco Grand Prix,OCO,FP1,1.213
2023,Monaco Grand Prix,HAM,FP1,0.663
2023,Monaco Grand Prix,SAI,FP1,0.0
2023,Monaco Grand Prix,RUS,FP1,1.694
2023,Monaco Grand Prix,BOT,FP1,1.346
2023,Monaco Grand Prix,PIA,FP1,1.82
2023,Monaco Grand Prix,VER,FP2,0.0
2023,Monaco Grand Prix,SAR,FP2,1.776
2023,Monaco Grand Prix,NOR,FP2,0.444
2023,Monaco Grand Prix,GAS,FP2,0.627
2023,Monaco Grand Prix,PER,FP2,0.529
2023,Monaco Grand Prix,ALO,FP2,0.22
2023,Monaco Grand Prix,LEC,FP2,0.065
2023,Monaco Grand Prix,STR,FP2,0.723
2023,Monaco Grand Prix,MAG,FP2,0.995
2023,Monaco Grand Prix,DEV,FP2,1.201
2023,Monaco Grand Prix,TSU,FP2,1.179
2023,Monaco Grand Prix,ALB,FP2,1.755
2023,Monaco Grand Prix,ZHO,FP2,0.892
2023,Monaco Grand Prix,HUL,FP2,1.058
2023,Monaco Grand Prix,OCO,FP2,0.7
